[2025-03-26 15:49:18,066: INFO: main: Welcome to our custom log]
[2025-03-27 09:46:29,383: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 09:46:29,389: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 09:46:29,391: INFO: common: created directory at: artifacts]
[2025-03-27 09:46:29,393: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-27 09:46:29,393: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1h_lpshuI-xw8zx5SQgy008e4ZeLzCZYl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 09:50:02,391: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1h_lpshuI-xw8zx5SQgy008e4ZeLzCZYl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 10:14:01,248: INFO: main: >>>>>> stage Data Ingestion Stage started <<<<<<]
[2025-03-27 10:14:01,249: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 10:14:01,251: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 10:14:01,252: INFO: common: created directory at: artifacts]
[2025-03-27 10:14:01,252: INFO: common: created directory at: artifacts/data_ingestion]
[2025-03-27 10:14:01,252: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1h_lpshuI-xw8zx5SQgy008e4ZeLzCZYl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 10:17:38,215: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1h_lpshuI-xw8zx5SQgy008e4ZeLzCZYl/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-03-27 10:17:46,889: INFO: main: >>>>>> stage Data Ingestion Stage completed <<<<<<

x==========x]
